Date,Ticker,isPartial,Noise
2020-01-05,CRM,False,59
2020-01-12,CRM,False,59
2020-01-19,CRM,False,51
2020-01-26,CRM,False,52
2020-02-02,CRM,False,53
2020-02-09,CRM,False,55
2020-02-16,CRM,False,56
2020-02-23,CRM,False,63
2020-03-01,CRM,False,54
2020-03-08,CRM,False,57
2020-03-15,CRM,False,50
2020-03-22,CRM,False,51
2020-03-29,CRM,False,49
2020-04-05,CRM,False,46
2020-04-12,CRM,False,50
2020-04-19,CRM,False,48
2020-04-26,CRM,False,45
2020-05-03,CRM,False,48
2020-05-10,CRM,False,51
2020-05-17,CRM,False,49
2020-05-24,CRM,False,56
2020-05-31,CRM,False,52
2020-06-07,CRM,False,53
2020-06-14,CRM,False,57
2020-06-21,CRM,False,56
2020-06-28,CRM,False,49
2020-07-05,CRM,False,54
2020-07-12,CRM,False,54
2020-07-19,CRM,False,53
2020-07-26,CRM,False,55
2020-08-02,CRM,False,56
2020-08-09,CRM,False,54
2020-08-16,CRM,False,55
2020-08-23,CRM,False,100
2020-08-30,CRM,False,64
2020-09-06,CRM,False,55
2020-09-13,CRM,False,56
2020-09-20,CRM,False,54
2020-09-27,CRM,False,56
2020-10-04,CRM,False,54
2020-10-11,CRM,False,51
2020-10-18,CRM,False,50
2020-10-25,CRM,False,50
2020-11-01,CRM,False,41
2020-11-08,CRM,False,51
2020-11-15,CRM,False,51
2020-11-22,CRM,False,50
2020-11-29,CRM,False,86
2020-12-06,CRM,True,59
